Company,Product_Type,Greenhouse_Gas_Emissions,Pollutants_Emitted,Water_Consumption,Energy_Consumption,Waste_Generation,sustainability_rating,sustainability_category
Zara,Polyester,0.7619047619047619,0.6875,0.875,0.625,0.75,0.7398809523809524,Not Sustainable
Zara,Nylon,0.28571428571428575,0.375,0.25,0.25,0.25,0.28214285714285714,Moderately Sustainable
Zara,Recycled_Poly,0.4047619047619048,0.5625,0.5,0.5,0.5,0.49345238095238103,Moderately Sustainable
Zara,Cotton,0.047619047619047616,0.0625,0.125,0.125,0.15000000000000002,0.10202380952380952,Highly Sustainable
Zara,Synthetic_Blend,1.0,1.0,1.0,1.0,1.0,1.0,Not Sustainable
Zara,Organic_Cotton,0.16666666666666669,0.1875,0.0,0.0,0.0,0.07083333333333333,Highly Sustainable
Zara,Polyester,0.6428571428571428,0.8125,0.75,0.75,0.6500000000000001,0.7210714285714286,Not Sustainable
Zara,Recycled_Poly,0.4761904761904762,0.4375,0.375,0.375,0.3500000000000001,0.4027380952380953,Moderately Sustainable
Zara,Microfiber,0.7142857142857142,0.625,0.7,0.5,0.6000000000000001,0.6278571428571429,Not Sustainable
Zara,Linen,0.07142857142857145,0.125,0.19999999999999996,0.1875,0.25,0.16678571428571426,Highly Sustainable
Zara,Tencel,0.3333333333333333,0.3125,0.375,0.3125,0.15000000000000002,0.2966666666666667,Moderately Sustainable
Zara,Viscose,0.5714285714285714,0.75,0.5,0.625,0.5,0.5892857142857142,Not Sustainable
Zara,Wool,0.0,0.0,0.0,0.0,0.050000000000000044,0.010000000000000009,Highly Sustainable
Zara,Cotton,0.15357142857142864,0.125,0.74925,0.6212500000000001,0.08499999999999996,0.34681428571428574,Moderately Sustainable
Adidas,Recycled_Poly,0.32190476190476197,0.5,0.5402500000000001,0.7762500000000001,0.54,0.5356809523809524,Not Sustainable
Forever 21,Cotton,0.7780952380952382,0.6875,0.4485000000000001,0.6612500000000001,0.575,0.6300690476190477,Not Sustainable
Adidas,Cotton,0.6592857142857143,0.0,0.60225,0.70875,0.29000000000000004,0.4520571428571428,Moderately Sustainable
Adidas,Polyester,0.11476190476190479,0.4375,0.06899999999999995,0.040000000000000036,0.41999999999999993,0.21625238095238095,Highly Sustainable
Forever 21,Cotton,0.9466666666666665,0.375,0.552,0.16874999999999996,0.925,0.5934833333333334,Not Sustainable
Forever 21,Linen,0.9223809523809523,0.8125,0.19474999999999998,0.12,0.12,0.4339261904761905,Moderately Sustainable
Urban Outfitters,Organic_Cotton,0.8016666666666665,0.875,0.8845000000000001,0.9325000000000001,0.06500000000000006,0.7117333333333333,Not Sustainable
Zara,Polyester,0.6616666666666666,0.1875,0.25449999999999995,0.2450000000000001,0.24,0.3177333333333333,Moderately Sustainable
Urban Outfitters,Recycled_Poly,0.35785714285714293,0.5,0.47350000000000003,0.3187500000000001,0.09499999999999997,0.3490214285714286,Moderately Sustainable
Forever 21,Nylon,0.02857142857142858,0.125,0.9485000000000001,0.9637500000000001,0.30000000000000004,0.4731642857142857,Moderately Sustainable
Urban Outfitters,Linen,0.41690476190476194,0.75,0.9239999999999999,0.07500000000000007,0.20999999999999996,0.47518095238095237,Moderately Sustainable
Zara,Microfiber,0.8873809523809524,0.5625,0.43300000000000005,0.8912500000000001,0.935,0.7418261904761905,Not Sustainable
Urban Outfitters,Recycled_Poly,0.5785714285714285,0.375,0.9917500000000001,0.07374999999999998,0.74,0.5518142857142857,Not Sustainable
Zara,Organic_Cotton,0.09761904761904766,0.9375,0.51475,0.67875,0.20000000000000007,0.48572380952380956,Moderately Sustainable
Forever 21,Nylon,0.13357142857142862,0.125,0.6912500000000001,0.30000000000000004,0.5150000000000001,0.3529642857142858,Moderately Sustainable
Forever 21,Cotton,0.07738095238095238,0.125,0.42925000000000013,0.84125,0.7450000000000001,0.44357619047619057,Moderately Sustainable
Forever 21,Organic_Cotton,0.3983333333333334,0.625,0.24425000000000008,0.3387500000000001,0.5050000000000001,0.4222666666666667,Moderately Sustainable
Nike,Linen,0.1414285714285714,0.0,0.46924999999999994,0.7949999999999999,0.72,0.4251357142857143,Moderately Sustainable
Zara,Tencel,0.9866666666666666,0.5,0.13549999999999995,0.44625000000000004,0.08499999999999996,0.43068333333333336,Moderately Sustainable
Nike,Synthetic_Blend,0.8545238095238095,0.5625,0.62625,0.8362499999999999,0.675,0.7109047619047619,Not Sustainable
Forever 21,Synthetic_Blend,0.2619047619047619,0.5,0.1180000000000001,0.13624999999999998,0.95,0.3932309523809524,Moderately Sustainable
Adidas,Synthetic_Blend,0.41071428571428575,0.625,0.20825000000000005,0.8787500000000001,0.81,0.5865428571428573,Not Sustainable
Forever 21,Linen,0.0990476190476191,0.125,0.6495,0.54125,0.3500000000000001,0.35295952380952383,Moderately Sustainable
Zara,Organic_Cotton,0.5107142857142857,0.3125,0.7590000000000001,0.565,0.7050000000000001,0.5704428571428573,Not Sustainable
Forever 21,Polyester,0.14666666666666667,0.25,0.5585,0.04500000000000004,0.47,0.29403333333333337,Moderately Sustainable
Forever 21,Recycled_Poly,0.2485714285714286,0.0625,0.3155000000000001,0.46625000000000005,0.050000000000000044,0.22856428571428578,Highly Sustainable
Adidas,Wool,0.20047619047619053,0.6875,0.7987500000000001,0.71625,0.52,0.5845952380952382,Not Sustainable
Adidas,Cotton,0.3452380952380953,0.8125,0.025249999999999995,0.22875,0.94,0.47034761904761907,Moderately Sustainable
Urban Outfitters,Wool,0.5202380952380952,0.3125,0.8062500000000001,0.8975,0.135,0.534297619047619,Not Sustainable
Zara,Linen,0.38904761904761903,0.875,0.3580000000000001,0.3900000000000001,0.29000000000000004,0.4604095238095239,Moderately Sustainable
Zara,Wool,0.7771428571428571,0.625,0.28525,0.08875,0.9850000000000001,0.5522285714285715,Not Sustainable
Nike,Wool,0.7795238095238095,0.625,0.9617500000000001,0.03500000000000003,0.14500000000000002,0.5092547619047619,Not Sustainable
Adidas,Viscose,0.07452380952380949,0.1875,0.6107500000000001,0.5549999999999999,0.43999999999999995,0.3735547619047619,Moderately Sustainable
Urban Outfitters,Viscose,0.22547619047619055,0.75,0.921,0.7375,0.24,0.5747952380952382,Not Sustainable
Zara,Microfiber,0.3842857142857143,0.6875,0.4415,0.08875,0.8500000000000001,0.49040714285714293,Moderately Sustainable
Forever 21,Organic_Cotton,0.5857142857142856,1.0,0.3165,0.8525,0.52,0.6549428571428572,Not Sustainable
Urban Outfitters,Synthetic_Blend,0.2480952380952381,0.375,0.4305000000000001,0.8500000000000001,0.4850000000000001,0.47771904761904765,Moderately Sustainable
Adidas,Viscose,0.5869047619047618,0.75,0.5609999999999999,0.0,0.385,0.45658095238095237,Moderately Sustainable
Adidas,Microfiber,0.6283333333333334,0.875,0.45225000000000004,0.565,0.8600000000000001,0.6761166666666668,Not Sustainable
Forever 21,Linen,0.16523809523809524,0.5625,0.5277499999999999,0.8487500000000001,0.81,0.5828476190476191,Not Sustainable
Nike,Nylon,0.6052380952380951,0.4375,0.82575,0.2537499999999999,0.18500000000000005,0.461447619047619,Moderately Sustainable
Zara,Cotton,0.14190476190476192,0.875,0.42425,0.8049999999999999,0.7350000000000001,0.5962309523809525,Not Sustainable
Urban Outfitters,Linen,0.4757142857142857,0.25,0.6717500000000001,0.8800000000000001,0.0050000000000000044,0.4564928571428572,Moderately Sustainable
Urban Outfitters,Cotton,0.9059523809523808,0.0625,0.5707500000000001,0.3187500000000001,0.15500000000000003,0.4025904761904762,Moderately Sustainable
Adidas,Linen,0.6188095238095237,0.875,0.6272500000000001,0.9199999999999999,0.645,0.7372119047619047,Not Sustainable
Forever 21,Linen,0.9257142857142857,0.875,0.26525,0.9612499999999999,0.31499999999999995,0.6684428571428571,Not Sustainable
Nike,Tencel,0.46642857142857147,0.5,0.45025000000000004,0.09875,0.9100000000000001,0.48508571428571434,Moderately Sustainable
Adidas,Synthetic_Blend,0.6235714285714284,0.125,0.14149999999999996,0.19250000000000012,0.29499999999999993,0.2755142857142857,Moderately Sustainable
Adidas,Cotton,0.809047619047619,0.8125,0.3387500000000001,0.6937500000000001,0.595,0.6498095238095238,Not Sustainable
Zara,Cotton,0.7595238095238095,0.0,0.8772500000000001,0.97875,0.7350000000000001,0.670104761904762,Not Sustainable
Urban Outfitters,Polyester,0.5823809523809524,0.75,0.87375,0.5362500000000001,0.685,0.6854761904761906,Not Sustainable
Forever 21,Cotton,0.4278571428571429,0.5,0.44625000000000004,0.6212500000000001,0.03500000000000003,0.4060714285714286,Moderately Sustainable
Nike,Wool,0.32190476190476197,0.875,0.9415,0.1625000000000001,0.7949999999999999,0.6191809523809524,Not Sustainable
Zara,Microfiber,0.05285714285714288,0.125,0.6580000000000001,0.5475000000000001,0.17000000000000004,0.3106714285714286,Moderately Sustainable
Adidas,Polyester,0.7392857142857143,0.625,0.21649999999999991,0.58125,0.41500000000000004,0.515407142857143,Not Sustainable
Urban Outfitters,Synthetic_Blend,0.4919047619047619,0.125,0.48150000000000004,0.02375000000000005,0.9550000000000001,0.4154309523809524,Moderately Sustainable
Zara,Organic_Cotton,0.13380952380952388,0.0625,0.7722500000000001,0.03875000000000006,0.31499999999999995,0.2644619047619048,Moderately Sustainable
Zara,Viscose,0.4652380952380953,0.25,0.48475,0.85625,0.14500000000000002,0.44024761904761905,Moderately Sustainable
Adidas,Linen,0.7192857142857143,0.3125,0.62025,0.7762500000000001,0.9550000000000001,0.6766571428571428,Not Sustainable
Adidas,Synthetic_Blend,0.050000000000000044,0.5625,0.5895000000000001,0.86625,0.48,0.5096499999999999,Not Sustainable
Adidas,Nylon,0.4735714285714286,0.1875,0.7137500000000001,0.98875,0.385,0.5497142857142856,Not Sustainable
Forever 21,Nylon,0.08000000000000002,0.6875,0.5455000000000001,0.5475000000000001,0.845,0.5411,Not Sustainable
Zara,Tencel,0.02452380952380956,0.8125,0.8420000000000001,0.62625,0.135,0.4880547619047618,Moderately Sustainable
Nike,Wool,0.2983333333333334,0.8125,0.18025000000000002,0.93875,0.665,0.5789666666666667,Not Sustainable
Nike,Viscose,0.9428571428571428,0.875,0.44599999999999995,0.935,0.7550000000000001,0.7907714285714287,Not Sustainable
Nike,Cotton,0.5438095238095237,0.875,0.24950000000000006,0.96,0.5900000000000001,0.6436619047619047,Not Sustainable
Forever 21,Wool,0.6559523809523808,0.0,0.506,0.41500000000000004,0.22999999999999998,0.36139047619047615,Moderately Sustainable
Adidas,Organic_Cotton,0.6638095238095238,0.5,0.9012500000000001,0.7625,0.895,0.7445119047619048,Not Sustainable
Forever 21,Polyester,0.3726190476190477,0.125,0.2470000000000001,0.9212500000000001,0.52,0.4371738095238095,Moderately Sustainable
Forever 21,Cotton,0.9571428571428571,0.875,0.81175,0.02124999999999999,0.11499999999999999,0.5560285714285715,Not Sustainable
Adidas,Microfiber,0.5971428571428572,0.6875,0.48449999999999993,0.7075,0.675,0.6303285714285713,Not Sustainable
Urban Outfitters,Tencel,0.6861904761904762,0.875,0.27725,0.3912500000000001,0.32000000000000006,0.5099380952380953,Not Sustainable
Zara,Cotton,0.23309523809523808,0.3125,0.19599999999999995,0.2762500000000001,0.9450000000000001,0.39256904761904765,Moderately Sustainable
Nike,Viscose,0.5519047619047619,0.1875,0.8525,0.24750000000000005,0.375,0.4428809523809524,Moderately Sustainable
Nike,Recycled_Poly,0.027380952380952395,0.25,0.28075000000000006,0.057499999999999996,0.06500000000000006,0.1361261904761905,Highly Sustainable
Nike,Recycled_Poly,0.2,0.0,0.58775,0.36375,0.6000000000000001,0.3503,Moderately Sustainable
Urban Outfitters,Organic_Cotton,0.10000000000000003,0.5,0.9635,0.6112500000000001,0.14500000000000002,0.4639500000000001,Moderately Sustainable
Urban Outfitters,Linen,0.10452380952380952,0.25,0.15274999999999994,0.72,0.385,0.32245476190476186,Moderately Sustainable
Adidas,Nylon,0.8116666666666665,0.4375,0.7942500000000001,0.66875,0.4850000000000001,0.6394333333333334,Not Sustainable
Urban Outfitters,Synthetic_Blend,0.8361904761904762,0.5625,0.5822499999999999,0.79375,0.07500000000000007,0.5699380952380952,Not Sustainable
Zara,Cotton,0.5159523809523809,0.125,0.16074999999999995,0.30625000000000013,0.21999999999999997,0.2655904761904762,Moderately Sustainable
Zara,Recycled_Poly,0.7966666666666666,0.875,0.7057500000000001,0.76,0.6000000000000001,0.7474833333333334,Not Sustainable
Zara,Cotton,0.5514285714285714,0.875,0.07275000000000009,0.8787500000000001,0.29499999999999993,0.5345857142857143,Not Sustainable
Forever 21,Wool,0.829047619047619,0.1875,0.5575000000000001,0.2875000000000001,0.825,0.5373095238095239,Not Sustainable
Nike,Recycled_Poly,0.11619047619047623,0.3125,0.8115000000000001,0.39250000000000007,0.76,0.47853809523809526,Moderately Sustainable
Nike,Linen,0.914047619047619,0.5625,0.7165000000000001,0.5150000000000001,0.345,0.6106095238095239,Not Sustainable
Forever 21,Linen,0.15666666666666668,0.0625,0.91075,0.5525,0.94,0.5244833333333333,Not Sustainable
Forever 21,Synthetic_Blend,0.17809523809523814,0.4375,0.98475,0.8625,0.7350000000000001,0.6395690476190478,Not Sustainable
Zara,Wool,0.07833333333333331,0.3125,0.4817500000000001,0.6637500000000001,0.8300000000000001,0.47326666666666667,Moderately Sustainable
Nike,Recycled_Poly,0.8499999999999999,0.9375,0.9922500000000001,0.11625000000000008,0.6000000000000001,0.6992,Not Sustainable
Urban Outfitters,Organic_Cotton,0.20380952380952383,0.3125,0.33750000000000013,0.5262500000000001,0.885,0.45301190476190484,Moderately Sustainable
Nike,Wool,0.07142857142857145,0.875,0.09000000000000008,0.4025000000000001,0.32000000000000006,0.3517857142857143,Moderately Sustainable
Zara,Microfiber,0.0021428571428571686,0.875,0.42300000000000004,0.06874999999999998,0.24,0.32177857142857147,Moderately Sustainable
Nike,Viscose,0.8621428571428571,0.0625,0.20825000000000005,0.34125000000000005,0.7,0.4348285714285714,Moderately Sustainable
Nike,Linen,0.23666666666666664,0.0,0.9964999999999999,0.8062500000000001,0.7750000000000001,0.5628833333333334,Not Sustainable
Adidas,Synthetic_Blend,0.026666666666666672,0.8125,0.09525000000000006,0.2875000000000001,0.14500000000000002,0.27338333333333337,Moderately Sustainable
Zara,Wool,0.9719047619047618,0.5625,0.5210000000000001,0.9025000000000001,0.345,0.6605809523809523,Not Sustainable
Urban Outfitters,Linen,0.8907142857142858,0.25,0.39274999999999993,0.24375000000000013,0.7650000000000001,0.5084428571428572,Not Sustainable
Adidas,Nylon,0.8092857142857142,0.625,0.9565000000000001,0.6487499999999999,0.3400000000000001,0.6759071428571428,Not Sustainable
Nike,Synthetic_Blend,0.9550000000000001,0.25,0.45724999999999993,0.68875,0.615,0.5932000000000001,Not Sustainable
Nike,Tencel,0.7357142857142858,0.875,0.9550000000000001,0.4112500000000001,0.24,0.6433928571428572,Not Sustainable
Forever 21,Microfiber,0.8011904761904762,0.0625,0.32575,0.9525000000000001,0.605,0.5493880952380953,Not Sustainable
Urban Outfitters,Wool,0.9659523809523809,0.0625,0.1292500000000001,0.6425000000000001,0.7550000000000001,0.5110404761904762,Not Sustainable
Zara,Linen,0.8911904761904761,0.0,0.7397500000000001,0.18375000000000008,0.52,0.4669380952380953,Moderately Sustainable
Adidas,Nylon,0.516904761904762,0.625,0.6380000000000001,0.88625,0.5050000000000001,0.6342309523809524,Not Sustainable
Zara,Organic_Cotton,0.7411904761904762,0.625,0.64175,0.91875,0.97,0.7793380952380952,Not Sustainable
